Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,NA,337,NA,NA,NA,NA,NA,0.03667973169549055,128,586,209,NA,NA,NA,NA,NA,160,NA,NA,59,NA,613,583,595,NA,13,NA
1981,24,365,0.5,5,NA,NA,NA,0.16901408450704225,53,371,312,NA,NA,NA,NA,NA,136,NA,NA,1,NA,613,583,595,NA,1,NA
1982,NA,205,NA,NA,NA,NA,NA,NA,NA,577,NA,NA,NA,NA,23,NA,252,252,NA,1,1,613,583,595,NA,1,1
1983,31,357,448,497,NA,NA,NA,0.048244181298489175,101,601,256,NA,NA,NA,NA,363,214,239,1,36,14,613,583,595,1,21,5
1984,6,367,2.2,18.65,3,480,5,0.01584507042253521,133,600,234,212,489.90000000000003,595,22,9,122,140,1,175,132,613,583,595,1,30,39
1985,48,368,7.4,22.300000000000047,NA,NA,NA,0.49496336996337,18,485,350,344,25.300000000000004,369.5,6,NA,180,205,NA,32,8,613,583,595,NA,13,5
1986,57,374,6.4,6.4,5,29.97900067697981,20,0.21908127208480566,36,566,338,290,0,22.5,48,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
1987,5,368,3.2,3.3,NA,NA,NA,0.2805755395683453,94,560,274,217,6.4,189,57,NA,72,72,NA,10,1,613,583,595,NA,3,1
1988,34,397,11,317.19999999999993,NA,NA,NA,0.25290697674418605,41,397,356,351,0,31,5,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
1989,7,360,1.3,1.3,4,342.9912308812377,11,0.05571060037523452,129,569,231,197,11,358,34,NA,187.5,NA,NA,16,NA,613,583,595,NA,8,NA
1990,10,361,0,0,NA,NA,NA,1,12,402,349,348,6.7700000000000005,258,1,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
1991,36,360,2.25,2.8,NA,NA,NA,0.07279174768050317,107,571,253,248,0.7,8.649999999999999,5,NA,220,NA,NA,1,NA,613,583,595,NA,1,NA
1992,NA,358,NA,NA,NA,NA,NA,0.25211864406779666,185,591,173,143,2.5,220,30,NA,170,NA,NA,7,NA,613,583,595,NA,4,NA
1993,17,454,418,554.2,3,272.9217537916718,5,0.054907758297588864,134,563,320,NA,NA,NA,NA,NA,141,NA,NA,1,NA,613,583,595,NA,1,NA
1994,79,346,1.1,223,NA,NA,NA,0.058590102707749836,25,392,321,304,1.1,198.5,17,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
1995,NA,360,NA,NA,4,160.9445025333183,30,0.056022408963585436,109,568,251,192,57.60000000000012,566,59,NA,101,NA,NA,2,NA,613,583,595,NA,1,NA
1996,NA,NA,NA,NA,5,566.9978897815578,8,NA,NA,568,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
1997,47,365,2.6,3.6,NA,NA,NA,0.008561643835616438,76,585,289,NA,NA,NA,NA,230,301.5,287.5,1,73,29,613,583,595,1,10,4
1998,NA,NA,NA,NA,5,13.990055194975879,8,NA,NA,585,176,130,426.9,576,46,111,137,138,1,46,9,613,583,595,1,15,4
1999,NA,312,NA,NA,NA,NA,NA,0.03851203978363287,82,571,230,NA,NA,NA,NA,NA,193.5,NA,NA,2,NA,613,583,595,NA,2,NA
2000,5,366,3.5,17.76,5,446.97610326207615,6,0.08378623188405797,171,581,195,NA,NA,NA,NA,NA,230,NA,NA,10,NA,613,583,595,NA,5,NA
2001,77,360,0.31,22.400000000000034,NA,NA,NA,0.11722488038277512,24,353,336,331,3.3,147,5,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2002,75,361,4.2,153.60000000000005,3,19.00216757401902,0,0.05797101449275367,30,543,331,260,235.8,514,71,247,284,229,1,75,45,613,583,595,1,7,4
2003,24,358,3.95,237.8,2,197.00245184671053,7,0.41977401129943503,82,490,276,206,137.5,487,70,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2004,113,353,0,2.0799999999999996,NA,NA,NA,0.039396551724137946,115,471,238,222,232,374,16,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2005,56,405,225.5,244,NA,NA,NA,0.011204569706860838,141,517,264,164,178.1,461.5,100,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2006,54,392,110,136.10000000000002,5,408.9294205084243,10,0.02186878727634195,189,548,203,147,225,552,56,NA,103,99,NA,47,29,613,583,595,NA,9,9
2007,26,368,28.5,101.5,2,183.95731846435382,7,0.09245259888852567,129,418,239,185,75.80000000000001,207,54,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2008,8,361,0.32,1.3699999999999999,1,40.99879295436895,0,0.08427097984060011,13,525,348,322,87,176.5,26,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2009,4,363,0.84,0.84,NA,NA,NA,0.08126950270569183,86,483,277,274,11,359,3,NA,166,NA,NA,2,NA,613,583,595,NA,1,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,339,338,0,238.5,1,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2011,157,345,0,0,NA,NA,NA,0.03632478632478633,30,478,315,302,327.3,470.5,13,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2012,106,310,0,3.5,NA,NA,NA,0.12134502923976603,67,540,243,107,17.20000000000001,524,136,NA,190,NA,NA,2,NA,613,583,595,NA,1,NA
2013,135,347,0,0.038000000000000256,4,5.487959197837285,0,0.8331906881205067,21,262,326,276,0,2.7,50,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2014,71,353,0,99,3,31.85266384257855,67,0.5492063492063493,191,495,162,46,0,132.5,116,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2015,63,354,4.8,31.00000000000002,2,48.999962541432005,0,0.19078947368421054,20,227,334,276,0,28,58,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2016,32,356,10.05,38.77,2,32.00502279793987,12,0.05521472392638037,159,476,197,146,4.8,188.5,51,NA,164,NA,NA,7,NA,613,583,595,NA,3,NA
2017,20,359,5.4,27.200000000000017,NA,NA,NA,0.045910175245435364,58,531,301,279,303.6,512,22,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2018,125,360,10,156.20000000000005,6,127.9601128507619,4,0.09163346613545817,50,387,310,297,39.00000000000001,302,13,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2019,NA,360,NA,NA,1,37.98900249525634,5,NA,10,535,350,231,151,503,119,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
2020,NA,314,NA,NA,3,243.97330187734235,7,0.18618421052631579,135,283,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613,583,595,NA,NA,NA
